,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Energy city
37934,09/20/2021/10:20,30.3541,44.95,5.074809999999999,546.6,62.21,69704.99775300002
31917,08/09/2021/15:30,35.5865,41.38,5.05112,623.7,284.9,99443.49814740001
28331,07/15/2021/17:50,30.8485,72.7,5.06554,412.5,134.9,89005.90129200001
19788,05/17/2021/10:00,25.667600000000004,55.79,5.06348,660.8,653.6,75247.01986270002
23348,06/11/2021/03:20,20.3425,66.28,0.08446000000000001,0.066,0.107,77042.0281886
37227,09/15/2021/12:30,22.206799999999998,74.3,0.28840000000000005,184.6,156.3,76142.1325356
21286,05/27/2021/19:40,27.6452,52.54,0.07828,61.27,60.8,96570.72682630002
51379,12/22/2021/19:10,15.6354,83.4,0.07210000000000001,0.048,0.122,91068.0955216
26330,07/01/2021/20:20,27.9027,80.5,5.06966,14.31,11.87,109512.9035499
43277,10/27/2021/12:50,22.969,68.15,5.07275,582.5,122.4,73070.5983241
4417,01/30/2021/16:10,18.1486,60.85,5.06657,57.98,60.51,71586.5701526
20066,05/19/2021/08:20,22.0935,82.1,0.07004,262.8,225.9,61446.968777199996
14714,04/12/2021/04:20,18.0147,87.5,0.07313,0.048,0.133,57794.6772542
33749,08/22/2021/08:50,24.7509,56.12,5.068630000000001,370.1,35.83,76642.1778008
2109,01/14/2021/15:30,21.1459,51.57,0.08652000000000001,338.6,377.2,67200.3671779
13196,04/01/2021/15:20,18.4885,82.7,0.07622,261.2,237.1,64512.330837299996
44727,11/06/2021/14:30,24.0608,65.34,0.07518999999999999,365.5,326.5,69444.1020078
27092,07/07/2021/03:20,28.6649,39.55,5.06348,0.099,0.078,71982.84544130001
2054,01/14/2021/06:20,12.6278,86.9,0.08549000000000001,0.059,0.148,51810.1520241
15853,04/20/2021/02:10,18.2825,90.2,0.07210000000000001,0.037,0.115,54636.5119778
35238,09/01/2021/17:00,27.7791,49.58,5.08202,421.5,53.04,67478.3781035
48193,11/30/2021/16:10,20.9708,62.71,0.0824,48.47,49.81,57858.80251937
28547,07/17/2021/05:50,24.6067,58.56,5.0676,0.139,0.115,59316.9788558
38620,09/25/2021/04:40,21.3416,90.1,5.06245,0.113,0.093,58899.462958599994
2075,01/14/2021/09:50,13.3282,87.1,0.08549000000000001,172.8,150.5,55932.2432228
40712,10/09/2021/17:20,28.0881,47.18,0.08652000000000001,85.4,55.48,72449.0959842
35552,09/03/2021/21:20,25.8324,67.32,0.28737,0.099,0.085,93310.66001400001
30902,08/02/2021/14:20,32.2081,51.56,5.05215,790.0,106.4,101881.60964360001
34595,08/28/2021/05:50,27.2023,92.7,5.06348,0.08,0.1,50885.605453200005
31421,08/06/2021/04:50,28.8503,75.7,5.05215,0.073,0.115,69154.10778410001
4562,01/31/2021/16:20,16.3049,35.83,5.071720000000001,351.0,408.2,71302.6834993
2683,01/18/2021/15:10,13.966800000000001,61.44,0.08446000000000001,87.1,90.9,79446.3030827
40104,10/05/2021/12:00,26.4298,51.85,5.068630000000001,302.7,236.0,76674.2794503
35970,09/06/2021/19:00,27.9439,68.86,0.26986000000000004,52.61,52.38,98853.96344369999
18370,05/07/2021/13:40,26.1311,51.62,0.07313,903.0,48.13,78282.78593370001
23059,06/09/2021/03:10,24.0917,61.67,0.08857999999999999,0.106,0.089,80687.7530908
20496,05/22/2021/08:00,18.3752,86.0,0.06901,93.8,73.9,58545.699560299996
8139,02/25/2021/12:30,19.7245,50.4,0.08755,661.0,46.82,69584.41140940001
69,12/31/2020/11:30,13.0295,56.03,0.08652000000000001,419.5,35.29,65175.036586500006
48954,12/05/2021/23:00,11.5875,71.9,0.08961,0.081,0.119,73415.719322
4003,01/27/2021/19:10,17.304000000000002,63.05,5.068630000000001,0.07,0.126,97183.8536388
31771,08/08/2021/15:10,33.5162,62.45,5.05215,821.0,283.1,103618.5811981
6662,02/15/2021/06:20,17.0156,60.01,0.08549000000000001,0.037,0.119,54794.66956960001
27625,07/10/2021/20:10,30.3026,58.13,5.05524,26.25,24.96,124006.87384449999
23972,06/15/2021/11:20,25.4719,61.68,0.07313,848.0,38.52,74347.97921270001
46676,11/20/2021/03:20,15.3573,57.74,0.08343,0.04,0.141,50148.824674879994
5508,02/07/2021/06:00,9.7026,90.1,0.07518999999999999,0.073,0.148,54715.9534985
5511,02/07/2021/06:30,8.339910000000001,90.2,0.08652000000000001,0.073,0.141,53621.85721649999
24964,06/22/2021/08:40,23.535500000000003,68.21,5.0676,453.0,443.9,57691.9908377
30389,07/30/2021/00:50,25.358600000000003,68.13,5.05318,0.091,0.1,93231.2947751
33777,08/22/2021/13:30,29.7876,43.98,5.05215,830.0,62.86,96453.0320017
32677,08/14/2021/22:10,25.8015,61.02,5.05627,0.102,0.059,116732.171871
25953,06/29/2021/05:30,23.2574,82.7,5.057300000000001,0.066,0.141,49673.2499787
